vin	V(vc)	Ib(Q1)
0.000000000000000e+000	1.000000e+001	-1.002739e-011
1.000000000000000e+000	8.958080e+000	4.217226e-007
2.000000000000000e+000	6.695125e+000	1.390354e-006
3.000000000000000e+000	4.570180e+000	2.376209e-006
4.000000000000000e+000	2.596251e+000	3.366980e-006
5.000000000000000e+000	7.625309e-001	4.360115e-006
6.000000000000000e+000	1.584739e-001	5.358028e-006
7.000000000000000e+000	1.333493e-001	6.357838e-006
8.000000000000000e+000	1.204953e-001	7.357686e-006
9.000000000000000e+000	1.118373e-001	8.357547e-006
1.000000000000000e+001	1.053184e-001	9.357414e-006
