vin	Ib(Q1)	Ic(Q1)
0.000000000000000e+000	-1.002739e-011	1.008438e-011
1.000000000000000e+000	4.217226e-007	2.216850e-004
2.000000000000000e+000	1.390354e-006	7.031650e-004
3.000000000000000e+000	2.376209e-006	1.155281e-003
4.000000000000000e+000	3.366980e-006	1.575266e-003
5.000000000000000e+000	4.360115e-006	1.965419e-003
6.000000000000000e+000	5.358028e-006	2.093942e-003
7.000000000000000e+000	6.357838e-006	2.099287e-003
8.000000000000000e+000	7.357686e-006	2.102022e-003
9.000000000000000e+000	8.357547e-006	2.103864e-003
1.000000000000000e+001	9.357414e-006	2.105251e-003
