Freq.	V(vout)
Step Information: Rc=100  (Run: 1/18)
2.00000000000000e+001	(-1.19207507256346e+001dB,-1.77007196360432e+002°)
2.01391110011344e+001	(-1.19205926222442e+001dB,-1.77027833766966e+002°)
2.02791895958006e+001	(-1.19204366898753e+001dB,-1.77048329350938e+002°)
2.04202425141439e+001	(-1.19202828987924e+001dB,-1.77068684076880e+002°)
2.05622765331213e+001	(-1.19201312196654e+001dB,-1.77088898903235e+002°)
2.07052984768276e+001	(-1.19199816235627e+001dB,-1.77108974782096e+002°)
2.08493152168224e+001	(-1.19198340819497e+001dB,-1.77128912658963e+002°)
2.09943336724614e+001	(-1.19196885666782e+001dB,-1.77148713473510e+002°)
2.11403608112276e+001	(-1.19195450499852e+001dB,-1.77168378158944e+002°)
2.12874036490672e+001	(-1.19194035044860e+001dB,-1.77187907642345e+002°)
2.14354692507259e+001	(-1.19192639031687e+001dB,-1.77207302844746e+002°)
2.15845647300886e+001	(-1.19191262193913e+001dB,-1.77226564680891e+002°)
2.17346972505212e+001	(-1.19189904268736e+001dB,-1.77245694059751e+002°)
2.18858740252148e+001	(-1.19188564996946e+001dB,-1.77264691884042e+002°)
2.20381023175322e+001	(-1.19187244122874e+001dB,-1.77283559050551e+002°)
2.21913894413569e+001	(-1.19185941394343e+001dB,-1.77302296450083e+002°)
2.23457427614444e+001	(-1.19184656562597e+001dB,-1.77320904967728e+002°)
2.25011696937762e+001	(-1.19183389382297e+001dB,-1.77339385482445e+002°)
2.26576777059160e+001	(-1.19182139611442e+001dB,-1.77357738867509e+002°)
2.28152743173685e+001	(-1.19180907011350e+001dB,-1.77375965990198e+002°)
2.29739670999407e+001	(-1.19179691346576e+001dB,-1.77394067712273e+002°)
2.31337636781058e+001	(-1.19178492384901e+001dB,-1.77412044889616e+002°)
2.32946717293691e+001	(-1.19177309897283e+001dB,-1.77429898372407e+002°)
2.34566989846376e+001	(-1.19176143657798e+001dB,-1.77447629005206e+002°)
2.36198532285906e+001	(-1.19174993443623e+001dB,-1.77465237626859e+002°)
2.37841423000545e+001	(-1.19173859034964e+001dB,-1.77482725070715e+002°)
2.39495740923786e+001	(-1.19172740215029e+001dB,-1.77500092164529e+002°)
2.41161565538152e+001	(-1.19171636770000e+001dB,-1.77517339730590e+002°)
2.42838976879010e+001	(-1.19170548488985e+001dB,-1.77534468585424e+002°)
2.44528055538414e+001	(-1.19169475163952e+001dB,-1.77551479540501e+002°)
2.46228882668984e+001	(-1.19168416589731e+001dB,-1.77568373401645e+002°)
2.47941539987798e+001	(-1.19167372563957e+001dB,-1.77585150969162e+002°)
2.49666109780323e+001	(-1.19166342887023e+001dB,-1.77601813038246e+002°)
2.51402674904366e+001	(-1.19165327362055e+001dB,-1.77618360398687e+002°)
2.53151318794057e+001	(-1.19164325794875e+001dB,-1.77634793834911e+002°)
2.54912125463853e+001	(-1.19163337993948e+001dB,-1.77651114126221e+002°)
2.56685179512581e+001	(-1.19162363770378e+001dB,-1.77667322046511e+002°)
2.58470566127499e+001	(-1.19161402937836e+001dB,-1.77683418364665e+002°)
2.60268371088387e+001	(-1.19160455312541e+001dB,-1.77699403844392e+002°)
2.62078680771673e+001	(-1.19159520713252e+001dB,-1.77715279244035e+002°)
2.63901582154580e+001	(-1.19158598961174e+001dB,-1.77731045317148e+002°)
2.65737162819303e+001	(-1.19157689879972e+001dB,-1.77746702812109e+002°)
2.67585510957223e+001	(-1.19156793295731e+001dB,-1.77762252472231e+002°)
2.69446715373139e+001	(-1.19155909036911e+001dB,-1.77777695035844e+002°)
2.71320865489535e+001	(-1.19155036934321e+001dB,-1.77793031236287e+002°)
2.73208051350880e+001	(-1.19154176821075e+001dB,-1.77808261802098e+002°)
2.75108363627950e+001	(-1.19153328532589e+001dB,-1.77823387456677e+002°)
2.77021893622186e+001	(-1.19152491906518e+001dB,-1.77838408918840e+002°)
2.78948733270082e+001	(-1.19151666782748e+001dB,-1.77853326902374e+002°)
2.80888975147600e+001	(-1.19150853003354e+001dB,-1.77868142116190e+002°)
2.82842712474620e+001	(-1.19150050412572e+001dB,-1.77882855264644e+002°)
2.84810039119415e+001	(-1.19149258856772e+001dB,-1.77897467047175e+002°)
2.86791049603166e+001	(-1.19148478184434e+001dB,-1.77911978158560e+002°)
2.88785839104500e+001	(-1.19147708246104e+001dB,-1.77926389288840e+002°)
2.90794503464063e+001	(-1.19146948894377e+001dB,-1.77940701123532e+002°)
2.92817139189126e+001	(-1.19146199983874e+001dB,-1.77954914343348e+002°)
2.94853843458221e+001	(-1.19145461371201e+001dB,-1.77969029624511e+002°)
2.96904714125811e+001	(-1.19144732914925e+001dB,-1.77983047638719e+002°)
2.98969849726989e+001	(-1.19144014475564e+001dB,-1.77996969052939e+002°)
3.01049349482215e+001	(-1.19143305915533e+001dB,-1.78010794529853e+002°)
3.03143313302081e+001	(-1.19142607099141e+001dB,-1.78024524727453e+002°)
3.05251841792113e+001	(-1.19141917892549e+001dB,-1.78038160299574e+002°)
3.07375036257604e+001	(-1.19141238163759e+001dB,-1.78051701895299e+002°)
3.09512998708479e+001	(-1.19140567782591e+001dB,-1.78065150159393e+002°)
3.11665831864201e+001	(-1.19139906620619e+001dB,-1.78078505732500e+002°)
3.13833639158702e+001	(-1.19139254551209e+001dB,-1.78091769250713e+002°)
3.16016524745352e+001	(-1.19138611449448e+001dB,-1.78104941345776e+002°)
3.18214593501969e+001	(-1.19137977192131e+001dB,-1.78118022645283e+002°)
3.20427951035850e+001	(-1.19137351657753e+001dB,-1.78131013772543e+002°)
3.22656703688852e+001	(-1.19136734726476e+001dB,-1.78143915346524e+002°)
